model_id,sample_id,patient_id,parent_id,model_name,synonyms,tissue,cancer_type,cancer_type_ncit_id,tissue_status,sample_site,cancer_type_detail,model_type,growth_properties,model_treatment,sampling_day,sampling_month,sampling_year,doi,pmed,msi_status,ploidy_snp6,ploidy_wes,ploidy_wgs,mutational_burden,model_comments,model_relations_comment,COSMIC_ID,BROAD_ID,CCLE_ID,RRID,HCMI,suppliers,supplier,cat_number,species,gender,ethnicity,age_at_sampling,family_history_of_cancer,prior_same_malignancy,prior_other_malignancy,smoking_status,alcohol_exposure_intensity,alcohol_consumption_per_week,history_diabetes,diabetes_treatment,colorectal_cancer_risk_factors,patient_history_of_gastrointestinal_disorder,gastrointestinal_disorder_diagnosed,prior_synchronous_colon_rectal_tumours,history_prior_colon_polyps,previous_current_barretts_oesophagus,reflux_disease_prior,reflux_disease_treatment,h_pylori_infection,history_clinical_chronic_pancreatitis,tumour_grade,tnm_integrated,tnm_t,tnm_n,tnm_m,clinical_staging,metastasis_at_diagnosis,metastatic_site_at_diagnosis,method_procurement,sample_treatment,sample_treatment_details,radiation_type,prior_therapy_outcome,tumour_regression_score,colon_polyps_present_at_time_of_tissue_collection,venous_invasion_present,venous_invasion_type,lymphatic_invasion_present,perineural_invasion_present,gastric_oesophageal_junction,barretts_goblet_cells_present,oesophageal_columnar_metaplasia,goblet_cells_oesophageal_columnar_mucosa,degree_of_dysplasia_non_cancerous_oesophageal_columnar_mucosa,peripancreatic_lymph_nodes_tested_surgery,number_positive_peripancreatic_lymph_nodes,mlh1_expression_by_ihc,mlh1_promoter_methylation_status,msh2_expression_by_ihc,pms2_expression_by_ihc,msh6_expression_by_ihc,braf_mutation_identified,braf_expression_by_ihc,pik3ca_mutation_identified,pten_expression_by_ihc,pten_mutation_identified,kras_mutation_identified,mismatch_repair_status,preoperative_ce_alevel,crispr_ko_data
SIDM00665,SIDS00162,SIDP00128,,Hs-746T,,Stomach,Gastric Carcinoma,C4004,Metastasis,Left leg,Gastric Adenocarcinoma,Cell Line,Adherent,,,,1973,,,MSS,2.059789235,4.440808808,,44.55,,,1240151,ACH-000616,HS746T_STOMACH,CVCL_0333,,ATCC:HTB-135,ATCC,HTB-135,Homo Sapiens,Male,White,74,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00688,SIDS00177,SIDP00142,,JSC-1,,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,C6915,Metastasis,Unknown,Primary Effusion Lymphoma,Cell Line,Suspension,,,,,,,MSS,3.454416239,3.58897355,,70.63,,,1327769,ACH-002253,JSC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_3728,,ATCC:CRL-2769,ATCC,CRL-2769,Homo Sapiens,Male,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00619,SIDS00986,SIDP00883,,KMH-2,,Thyroid,Thyroid Gland Carcinoma,C3878,Tumour,Thyroid,Anaplastic Thyroid Carcinoma,Cell Line,Unknown,,,,,,,MSS,3.785519502,4.061839056,,74.66,,,1298167,,,CVCL_S641,,JCRB:JCRB1066,JCRB,JCRB1066,Homo Sapiens,Male,East Asian,71,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00681,SIDS00184,SIDP00149,,LS1034,,Large Intestine,Colorectal Carcinoma,C5543,Tumour,Cecum,Cecum Adenocarcinoma,Cell Line,Adherent,,,,1989,,,MSS,3.058202694,1.985199944,,33.37,,LS1034-PBL is a matched normal line initiated by Epstein Barr virus (EBV) transformation from the same patient as LS1034.,917486,ACH-000252,LS1034_LARGE_INTESTINE,CVCL_1382,,ATCC:CRL-2158,ATCC,CRL-2158,Homo Sapiens,Male,White,54,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00677,SIDS00187,SIDP00152,,LS-513,,Large Intestine,Colorectal Carcinoma,C5543,Tumour,Cecum,Cecum Adenocarcinoma,Cell Line,Adherent,,,,,,,MSS,2.221056871,2.285360443,,40.45,,,907795,ACH-000007,LS513_LARGE_INTESTINE,CVCL_1386,,ATCC:CRL-2134,ATCC,CRL-2134,Homo Sapiens,Male,White,63,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00659,SIDS00188,SIDP00153,,M059J,Mo 59J,Central Nervous System,Glioblastoma,C3058,Tumour,Brain,Glioblastoma,Cell Line,Adherent,,,,,,,MSS,4.239484529,3.580286922,,27.45,,M059K and M059J cells concurrently from the same tumor specimen from a 33 year old male patient with untreated glioblastoma (ATCC).,949094,ACH-001118,M059J_CENTRAL_NERVOUS_SYSTEM,CVCL_0400,,ATCC:CRL-2366,ATCC,CRL-2366,Homo Sapiens,Male,Unknown,33,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00637,SIDS00190,SIDP00154,,MC116,,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,C3457,Metastasis,Ascites,B-Cell Non-Hodgkin's Lymphoma,Cell Line,Suspension,,,,,,,MSS,2.091960668,2.181364708,,31.66,,,907799,ACH-000583,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1399,,ATCC:CRL-1649,ATCC,CRL-1649,Homo Sapiens,Male,Unknown,0,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00631,SIDS00196,SIDP00159,,MDA-MB-330,MDA-330,Breast,Breast Carcinoma,C4872,Metastasis,Pleural effusion,Breast Carcinoma,Cell Line,Adherent,,,,,,,MSS,3.989533431,3.018560726,,32.95,,,1330941,ACH-001358,MDAMB330_BREAST,CVCL_0619,,ATCC:HTB-127,ATCC,HTB-127,Homo Sapiens,Female,White,43,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00628,SIDS00199,SIDP00162,,MDA-MB-468,MDA-468,Breast,Breast Carcinoma,C5214,Metastasis,Pleural effusion,Breast Adenocarcinoma,Cell Line,Adherent,,,,1977,,,MSS,2.842148349,2.854315132,,46.5,,,908123,ACH-000849,MDAMB468_BREAST,CVCL_0419,,ATCC:HTB-132,ATCC,HTB-132,Homo Sapiens,Female,Black,51,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00627,SIDS00200,SIDP00163,,ME-180,,Cervix,Cervical Carcinoma,C27676,Metastasis,Omentum,Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma,Cell Line,Adherent,,,,,,,MSS,2.673847913,2.696301522,,25.71,,SF767 has been shown to be a derivative of ME-180 (PMID: 22570425).,687514,ACH-001359,ME180_CERVIX,CVCL_1401,,ATCC:HTB-33,ATCC,HTB-33,Homo Sapiens,Female,White,66,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00625,SIDS00202,SIDP00164,,MES-SA,,Uterus,Other Sarcomas,C6339,Tumour,Uterus,Uterine Corpus Sarcoma,Cell Line,Adherent,,,,1980,,,MSS,1.880060431,1.950928173,,38.76,,MES-SA-MX2 is a mitoxantrone resistant derivative of the human uterine sarcoma cell line MES-SA (ATCC).;MES-SADx-5 is a multi drug-resistant subclone of MES-SA (ECACC).,908127,ACH-000449,MESSA_SOFT_TISSUE,CVCL_1404,,ATCC:CRL-1976,ATCC,CRL-1976,Homo Sapiens,Female,White,56,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00638,SIDS00205,SIDP00167,,MS751,,Cervix,Cervical Carcinoma,C27676,Metastasis,Lymph node,Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma,Cell Line,Adherent,,,,1974,,,MSS,1.862779907,1.826870702,,23.5,,,1240179,ACH-001360,MS751_CERVIX,CVCL_4996,,ATCC:HTB-34,ATCC,HTB-34,Homo Sapiens,Female,White,47,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00640,SIDS00206,SIDP00168,,MSTO-211H,,Lung,Mesothelioma,C45665,Metastasis,Pleural effusion,Pleural Biphasic Mesothelioma,Cell Line,Adherent,,,,1985,,,MSS,3.48918453,3.576770488,,31.5,,,908152,ACH-000335,MSTO211H_PLEURA,CVCL_1430,,ATCC:CRL-2081,ATCC,CRL-2081,Homo Sapiens,Male,White,62,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00657,SIDS00207,SIDP00169,,MV-4-11,MV4II,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,C9163,Tumour,Peripheral blood,Childhood Acute Differentiated Monocytic Leukemia,Cell Line,Suspension,,,,,,,MSS,2.012127396,2.072942245,,19.32,,,908156,ACH-000045,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_0064,,ATCC:CRL-9591,ATCC,CRL-9591,Homo Sapiens,Male,Unknown,10,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00623,SIDS00204,SIDP00166,,Mo-T,,Haematopoietic and Lymphoid,Other Blood Cancers,C7402,Tumour,Unknown,Hairy Cell Leukemia,Cell Line,Suspension,,,,,,,MSS,1.961783963,2.0057396,,20.58,,,908149,ACH-002339,MOT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1439,,ATCC:CRL-8066,ATCC,CRL-8066,Homo Sapiens,Male,Unknown,0,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00578,SIDS01019,SIDP00913,,NB1,NB-I,Peripheral Nervous System,Neuroblastoma,C3270,Metastasis,Cervical lymph node,Neuroblastoma,Cell Line,Unknown,,,,,,,MSS,1.940229892,2.093374131,,38.55,,,949179,ACH-000804,NB1_AUTONOMIC_GANGLIA,CVCL_1440,,JCRB:JCRB0621,JCRB,JCRB0621,Homo Sapiens,Male,Unknown,2,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00652,SIDS00213,SIDP00174,,NCI-H1105,,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Lymph node,Small Cell Lung Carcinoma,Cell Line,Suspension,,,,1985,,,MSS,3.241363992,3.370612452,,85.55,,,908468,ACH-000780,NCIH1105_LUNG,CVCL_1455,,ATCC:CRL-5856,ATCC,CRL-5856,Homo Sapiens,Male,White,73,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00651,SIDS00214,SIDP00175,,NCI-H1155,NCI-1155,Lung,Non-Small Cell Lung Carcinoma,C4450,Metastasis,Lymph node,Large Cell Lung Carcinoma,Cell Line,Suspension,,,,,,,MSS,2.05543019,4.21722996,,202.5,,,908467,ACH-000980,NCIH1155_LUNG,CVCL_1456,,ATCC:CRL-5818,ATCC,CRL-5818,Homo Sapiens,Male,White,36,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00650,SIDS00215,SIDP00176,,NCI-H128,NCI-128,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Pleural effusion,Small Cell Lung Carcinoma,Cell Line,Suspension,,,,,,,MSS,2.851627584,2.841690815,,52.34,,NCI-BL128 is a matched normal line initiated by Epstein Barr virus (EBV) transformation from the same patient as NCI-H128. (ATCC),753597,ACH-002286,NCIH128_LUNG,CVCL_1460,,ATCC:HTB-120,ATCC,HTB-120,Homo Sapiens,Male,Black,60,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00649,SIDS00216,SIDP00177,,NCI-H1299,,Lung,Non-Small Cell Lung Carcinoma,C4450,Metastasis,Lymph node,Large Cell Lung Carcinoma,Cell Line,Adherent,,,,,,,MSS,4.750400096,5.045881509,,46.89,,,724831,ACH-000510,NCIH1299_LUNG,CVCL_0060,,ATCC:CRL-5803,ATCC,CRL-5803,Homo Sapiens,Male,White,43,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Radiotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00648,SIDS00217,SIDP00178,,NCI-H1304,,Lung,Small Cell Lung Carcinoma,C4917,Unknown,Unknown,Small Cell Lung Carcinoma,Cell Line,Suspension,,,,,,,MSS,2.629505967,2.805774086,,30.79,,NCI-H1870 and NCI-H1304 are known syonymous lines (ICLAC).,753599,ACH-002169,NCIH1304_LUNG,CVCL_1462,,ATCC:CRL-5862,ATCC,CRL-5862,Homo Sapiens,Female,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00645,SIDS00220,SIDP00180,,NCI-H1355,,Lung,Non-Small Cell Lung Carcinoma,C3512,Metastasis,Pleural effusion,Lung Adenocarcinoma,Cell Line,Suspension,,,3,1986,,,MSS,2.304485605,2.407744936,,56.16,,,724866,ACH-000666,NCIH1355_LUNG,CVCL_1464,,ATCC:CRL-5865,ATCC,CRL-5865,Homo Sapiens,Male,White,53,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00658,SIDS00224,SIDP00183,,NCI-H1435,,Lung,Non-Small Cell Lung Carcinoma,C3512,Tumour,Lung,Lung Adenocarcinoma,Cell Line,Semi-Adherent,,,6,1986,,,MSS,1.856069597,1.896224806,,90.76,,,1298347,ACH-000852,NCIH1435_LUNG,CVCL_1470,,ATCC:CRL-5870,ATCC,CRL-5870,Homo Sapiens,Female,Unknown,35,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00698,SIDS00227,SIDP00186,,NCI-H146,,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Bone marrow,Small Cell Lung Carcinoma,Cell Line,Suspension,,,,1979,,,MSS,2.921227341,3.090156368,,45.03,,,910899,ACH-000506,NCIH146_LUNG,CVCL_1473,,ATCC:HTB-173,ATCC,HTB-173,Homo Sapiens,Male,White,59,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00744,SIDS00235,SIDP00194,,NCI-H1651,,Lung,Non-Small Cell Lung Carcinoma,C3512,Tumour,Lung,Lung Adenocarcinoma,Cell Line,Adherent,,,5,1987,,,MSS,2.905446505,3.05734046,,101.87,,,910900,ACH-000893,NCIH1651_LUNG,CVCL_1484,,ATCC:CRL-5884,ATCC,CRL-5884,Homo Sapiens,Male,Unknown,71,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00742,SIDS00237,SIDP00196,,NCI-H1693,,Lung,Non-Small Cell Lung Carcinoma,C3512,Metastasis,Lymph node,Lung Adenocarcinoma,Cell Line,Adherent,,,7,1987,,,MSS,2.730169327,2.86471537,,42.13,,NCI-H1819 and the matched normal line NCI-BL1819 were derived from the same patient as NCI-H1693 following chemotherapy. (PMID: 8806092),687802,ACH-000021,NCIH1693_LUNG,CVCL_1488,,ATCC:CRL-5887,ATCC,CRL-5887,Homo Sapiens,Female,White,55,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00740,SIDS00239,SIDP00198,,NCI-H1703,,Lung,Squamous Cell Lung Carcinoma,C3493,Tumour,Unknown,Squamous Cell Lung Carcinoma,Cell Line,Adherent,,,8,1987,,,MSS,2.31550571,2.348297656,,73.89,,,908474,ACH-000747,NCIH1703_LUNG,CVCL_1490,,ATCC:CRL-5889,ATCC,CRL-5889,Homo Sapiens,Male,White,54,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00735,SIDS00264,SIDP00218,,NCI-H2029,,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Lymph node,Small Cell Lung Carcinoma,Cell Line,Adherent,,,9,1988,,,MSS,1.875258151,2.017163457,,41.76,,,688011,ACH-000298,NCIH2029_LUNG,CVCL_1516,,ATCC:CRL-5913,ATCC,CRL-5913,Homo Sapiens,Female,White,69,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00711,SIDS00268,SIDP00221,,NCI-H2066,,Lung,Squamous Cell Lung Carcinoma,C3493,Tumour,Unknown,Squamous Cell Lung Carcinoma,Cell Line,Adherent,,,10,1988,,,MSS,2.408575741,2.399209266,,60.63,,,1330973,ACH-000727,NCIH2066_LUNG,CVCL_1520,,ATCC:CRL-5917,ATCC,CRL-5917,Homo Sapiens,Female,White,70,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00709,SIDS00270,SIDP00223,,NCI-H2085,,Lung,Non-Small Cell Lung Carcinoma,C3512,Tumour,Unknown,Lung Adenocarcinoma,Cell Line,Adherent,,,11,1988,,,MSS,2.672741274,2.920635147,,42.37,,,687812,ACH-000451,NCIH2085_LUNG,CVCL_1523,,ATCC:CRL-5921,ATCC,CRL-5921,Homo Sapiens,Male,Unknown,45,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00699,SIDS00280,SIDP00230,,NCI-H2141,,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Lymph node,Small Cell Lung Carcinoma,Cell Line,Suspension,,,3,1989,,,MSS,2.826732837,2.943153019,,56.63,,NCI-BL2141 is a lymphoblastoid line from the same patient as NCI-H2141 (ATCC).,688014,ACH-001138,NCIH2141_LUNG,CVCL_1534,,ATCC:CRL-5927,ATCC,CRL-5927,Homo Sapiens,Male,White,58,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00731,SIDS00286,SIDP00234,,NCI-H2196,,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Bone marrow,Small Cell Lung Carcinoma,Cell Line,Adherent,,,6,1989,,,MSS,1.733488039,1.805600014,,40.5,,,908481,ACH-000399,NCIH2196_LUNG,CVCL_1539,,ATCC:CRL-5932,ATCC,CRL-5932,Homo Sapiens,Male,White,67,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00729,SIDS00288,SIDP00236,,NCI-H2228,,Lung,Non-Small Cell Lung Carcinoma,C3512,Tumour,Lung,Lung Adenocarcinoma,Cell Line,Adherent,,,8,1989,,,MSS,3.743530018,3.762627497,,30.11,,,687816,ACH-000447,NCIH2228_LUNG,CVCL_1543,,ATCC:CRL-5935,ATCC,CRL-5935,Homo Sapiens,Female,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00728,SIDS00289,SIDP00237,,NCI-H2291,,Lung,Non-Small Cell Lung Carcinoma,C3512,Metastasis,Lymph node,Lung Adenocarcinoma,Cell Line,Adherent,,,1,1990,,,MSS,2.826900326,2.858010619,,79.74,,,724874,ACH-000718,NCIH2291_LUNG,CVCL_1546,,ATCC:CRL-5939,ATCC,CRL-5939,Homo Sapiens,Male,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00686,SIDS00179,SIDP00144,,KLE,,Endometrium,Endometrial Carcinoma,C7359,Tumour,Endometrium,Endometrial Adenocarcinoma,Cell Line,Adherent,,,,,,,MSS,2.653350809,2.76538448,,23.89,,,924187,ACH-000293,KLE_ENDOMETRIUM,CVCL_1329,,ATCC:CRL-1622,ATCC,CRL-1622,Homo Sapiens,Female,White,64,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00908,SIDS00109,SIDP00086,,COLO-829BL,,Haematopoietic and Lymphoid,Non-Cancerous,C41168,Normal,Unknown,Non-Cancerous,Cell Line,Suspension,Transformed (EBV),,,,,,MSS,,2,,18.58,,COLO-829 was derived from a sample taken prior to chemotherapy for metastatic melanoma.;COLO 829BL was established from the same patient by Epstein Barr virus (EBV) transformation of a sample of peripheral blood (ATCC).,,ACH-002380,COLO829_MATCHED_NORMAL_TISSUE,CVCL_1999,,ATCC:CRL-1980,ATCC,CRL-1980,Homo Sapiens,Male,White,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01166,SIDS00406,SIDP00349,,ACCS,,Bladder,Bladder Carcinoma,C4912,Tumour,Unknown,Bladder Carcinoma,Cell Line,Adherent,,,,,,,,,,,,,ACCS has been shown to be a derivitive of T24 (PMID: 20143388).;;SLR20 has been identified as a derivitive of T24 (ICLAC).,,ACH-001011,ACCS_URINARY_TRACT,CVCL_6876,,None:None,None,None,Homo Sapiens,Female,White,81,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00766,SIDS00251,SIDP00209,,NCI-H1876,,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Lymph node,Small Cell Lung Carcinoma,Cell Line,Adherent,,,4,1988,10.1002/jcb.240630505,,,2.412225694,,,,,NCI-H1876 & NCI-H1882 & NCI-H1881 have been derived from the same same patient. (NCI-Navy Medical Oncology Brance Cell Line Supplement DOI: 10.1002/jcb.240630505),1330972,ACH-000586,NCIH1876_LUNG,CVCL_1503,,ATCC:CRL-5902,ATCC,CRL-5902,Homo Sapiens,Male,White,59,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01035,SIDS00557,SIDP00490,,KMS-12-PE,,Haematopoietic and Lymphoid,Plasma Cell Myeloma,C3242,Metastasis,Pleural effusion,Plasma Cell Myeloma,Cell Line,Suspension,,,,1987,,,,,,,,,KMS-12-PE and KMS-12-BM were both derived from the same patient (DSMZ).,753568,ACH-001103,KMS12PE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1333,,DSMZ:ACC-606,DSMZ,ACC-606,Homo Sapiens,Female,Unknown,64,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Chemotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01046,SIDS00509,SIDP00445,,EM-3,,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,C3174,Tumour,Bone marrow,Chronic Myelogenous Leukemia,Cell Line,Suspension,,,,1980,,,,,,,,,EM-2 and EM-3 were derived from the same patient.;EM-2 was established +28 days after bone marrow transplantation.;EM-3 was established +47 days  after bone marrow transplantation (DSMZ).,,,,CVCL_2033,,DSMZ:ACC-134,DSMZ,ACC-134,Homo Sapiens,Female,White,5,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01022,SIDS00569,SIDP00502,,MONO-MAC-1,MM1,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,C8263,Tumour,Peripheral Blood,Adult Acute Monocytic Leukemia,Cell Line,Suspension,,,,1985,,,,,,,,,MONO-MAC-1 and MONO-MAC-6 are simultaneous sister cell lines derived from a peripheral blood sample from the same patient (DSMZ).,1330955,ACH-001129,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1425,,DSMZ:ACC-252,DSMZ,ACC-252,Homo Sapiens,Male,Unknown,64,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00809,SIDS00054,SIDP00042,,RPMI-2650,,Head and Neck,Head and Neck Carcinoma,C34447,Metastasis,Pleural Effusion,Head and Neck Squamous Cell Carcinoma,Cell Line,Adherent,,,,,,,,1.956111311,,,,,,909700,ACH-001385,RPMI2650_SKIN,CVCL_1664,,ATCC:CCL-30,ATCC,CCL-30,Homo Sapiens,Male,Unknown,52,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01091,SIDS00343,SIDP00288,,RF-1,,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,C3208,Unknown,Unknown,Lymphoma,Cell Line,Unknown,,,,,,,,,,,,"Misidentified, now shown to be a B-cell lymphoma and not from a gastric cancer (PMID: 12226758).",RF-1 and RF-48 were derived from the same patient (PMID: 12226758),,,,CVCL_3580,,ATCC:CRL-1864,ATCC,CRL-1864,Homo Sapiens,Male,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01053,SIDS00502,SIDP00439,,EFM-192C,,Breast,Breast Carcinoma,C4872,Metastasis,Pleural Effusion,Breast Carcinoma,Cell Line,Adherent,,,,1985,,,,,,,,,EFM-192B and EFM-192C were established from the same patient as EFM-192A (DSMZ).,1290799,,,CVCL_1814,,DSMZ:ACC-311,DSMZ,ACC-311,Homo Sapiens,Female,White,46,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01054,SIDS00502,SIDP00439,,EFM-192B,,Breast,Breast Carcinoma,C4872,Metastasis,Pleural Effusion,Breast Carcinoma,Cell Line,Adherent,,,,1985,,,,,,,,,EFM-192B and EFM-192C were established from the same patient as EFM-192A (DSMZ).,1240126,,,CVCL_1813,,DSMZ:ACC-308,DSMZ,ACC-308,Homo Sapiens,Female,White,46,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
